"CSV.5 | Subject Group","PAIRED"
"Subject Public ID","Pilot_M"
"Subject First Name",""
"Subject Last Name",""
"Subject Date of Birth",""
"Record Date/Time","20210824-105712EDT"
"Condition","Open Ended"
"File Name","20210824-105712_MLK_Walk.h5"
"Trial Notes","SSQQS_temporal"
"Analysis Log","Info::Found 28 valid gait cycles"
"Analysis Version","4"
,,,,,"Iteration #"
"Measure","Normative Mean","Normative StDev","Mean","StDev","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"Gait - Joint - Ankle - Ev-Inv Min. R (degrees)","","","-32.07","4.11","-34.91","-35.81","-32.87","-37.25","-35.69","-33.57","-37.40","-35.15","-30.34","-36.36","-30.20","-34.82","-35.81","-30.16","-24.10","-30.59","-27.54","-34.13","-32.69","-37.34","-34.66","-33.27","-28.29","-29.78","-27.77","-21.98","-28.19","-27.41"
"Gait - Joint - Ankle - Ev-Inv Min. Asymmetry (%Diff)","","","-29.12","17.42","-7.47","-1.08","-12.17","9.62","-20.11","-20.10","-18.34","-35.63","-33.27","-25.44","-52.70","-18.81","-27.59","-35.86","-39.97","-26.04","-37.76","-11.59","-29.92","-13.49","-23.39","-31.80","-45.13","-35.06","-55.61","-65.79","-45.75","-55.13"
"Gait - Joint - Ankle - Ev-Inv Range L (degrees)","","","52.36","6.37","44.63","43.56","45.36","37.96","49.57","43.04","49.06","63.61","56.36","60.36","65.24","55.41","61.73","56.52","49.16","50.87","52.76","45.96","52.47","53.03","53.98","54.30","51.95","50.28","57.98","51.89","53.28","55.80"
"Gait - Joint - Ankle - Ev-Inv Range R (degrees)","","","32.86","5.62","36.25","38.20","34.10","40.05","37.96","34.63","40.28","37.78","30.18","40.19","31.95","32.95","34.50","27.29","24.06","31.41","28.31","34.14","34.80","39.45","38.41","35.81","29.34","31.32","28.02","18.37","23.95","26.50"
"Gait - Joint - Ankle - Ev-Inv Range Asymmetry (%Diff)","","","-45.95","22.70","-20.72","-13.11","-28.34","5.36","-26.53","-21.66","-19.66","-50.95","-60.50","-40.12","-68.50","-50.84","-56.59","-69.75","-68.56","-47.30","-60.32","-29.51","-40.50","-29.37","-33.70","-41.04","-55.63","-46.47","-69.67","-95.42","-75.95","-71.20"
"Gait - Joint - Ankle - Dor-Plantar Max. L (degrees)","","","1.43","1.93","-0.34","1.70","4.21","1.72","3.73","0.01","2.20","-0.80","2.79","0.08","3.32","-2.54","-0.35","0.33","2.79","0.45","2.13","-0.04","6.10","3.78","1.76","2.93","-0.28","0.95","2.89","1.85","-1.07","-0.14"
"Gait - Joint - Ankle - Dor-Plantar Max. R (degrees)","","","-0.19","2.17","-1.93","0.72","-2.17","-0.05","-0.59","-1.26","-2.18","-2.65","-3.61","0.35","1.87","-0.56","-0.23","-1.12","-5.52","2.03","1.60","-2.21","3.19","-0.26","1.98","3.07","-1.02","-0.89","1.28","-0.85","3.48","2.32"
"Gait - Joint - Ankle - Dor-Plantar Max. Asymmetry (%Diff)","","","-1718.68","8338.96","140.09","-80.99","-625.49","-211.98","-275.16","203.20","-43800.00","107.25","1560.98","125.58","-55.88","-127.74","-41.38","367.09","608.79","127.42","-28.42","192.89","-62.65","-229.55","11.76","4.67","113.85","-6133.33","-77.22","-540.00","377.59","225.69"
"Gait - Joint - Ankle - Dor-Plantar Min. L (degrees)","","","-57.82","11.20","-40.94","-53.16","-41.75","-40.78","-58.91","-42.35","-56.06","-73.44","-62.51","-57.07","-68.36","-52.08","-79.42","-57.54","-52.08","-59.33","-62.84","-36.95","-53.50","-60.68","-53.99","-70.61","-65.00","-47.77","-66.15","-59.61","-69.89","-76.25"
"Gait - Joint - Ankle - Dor-Plantar Min. R (degrees)","","","-44.66","4.08","-41.88","-47.94","-41.31","-41.59","-45.74","-42.54","-41.38","-49.30","-44.14","-41.15","-38.94","-41.75","-42.39","-43.10","-44.54","-48.26","-37.15","-44.00","-53.42","-48.59","-53.29","-47.93","-45.31","-47.12","-49.32","-39.83","-46.72","-41.74"
"Gait - Joint - Ankle - Dor-Plantar Min. Asymmetry (%Diff)","","","-23.96","20.78","2.27","-10.33","-1.06","1.97","-25.17","0.45","-30.13","-39.34","-34.45","-32.42","-54.84","-22.02","-60.80","-28.70","-15.61","-20.58","-51.39","17.42","-0.15","-22.13","-1.30","-38.27","-35.70","-1.37","-29.15","-39.78","-39.74","-58.50"
"Gait - Joint - Ankle - Dor-Plantar Range L (degrees)","","","59.26","11.22","40.60","54.86","45.96","42.50","62.64","42.36","58.26","72.65","65.30","57.15","71.68","49.54","79.07","57.88","54.87","59.79","64.97","36.91","59.59","64.45","55.75","73.55","64.72","48.73","69.04","61.46","68.81","76.12"
"Gait - Joint - Ankle - Dor-Plantar Range R (degrees)","","","44.47","5.12","39.95","48.66","39.14","41.54","45.15","41.28","39.20","46.65","40.53","41.50","40.81","41.19","42.16","41.97","39.02","50.29","38.75","41.80","56.61","48.32","55.27","51.00","44.29","46.23","50.59","38.98","50.20","44.07"
"Gait - Joint - Ankle - Dor-Plantar Range Asymmetry (%Diff)","","","-27.04","19.45","-1.61","-11.98","-16.03","-2.28","-32.45","-2.58","-39.11","-43.59","-46.81","-31.73","-54.88","-18.41","-60.89","-31.87","-33.76","-17.26","-50.56","12.43","-5.13","-28.61","-0.86","-36.21","-37.48","-5.27","-30.85","-44.76","-31.27","-53.33"
"Gait - Joint - Ankle - Abd-Add Max. L (degrees)","","","12.49","6.96","4.18","4.15","1.60","2.59","3.17","3.17","4.45","18.65","19.98","17.71","16.99","19.06","22.87","26.40","17.81","19.10","18.92","10.16","9.15","8.29","7.98","8.17","11.84","11.45","13.83","15.59","16.63","15.81"
"Gait - Joint - Ankle - Abd-Add Max. R (degrees)","","","-8.87","6.30","-2.71","-3.07","-4.07","-3.28","-2.17","-2.89","-2.63","-6.62","-5.16","-7.00","-8.33","-10.92","-17.90","-15.17","-11.33","-11.97","-11.82","-8.21","-3.86","-2.50","-2.33","-0.94","-12.89","-13.84","-15.40","-20.31","-20.61","-20.29"
"Gait - Joint - Ankle - Abd-Add Max. Asymmetry (%Diff)","","","-59.27","1786.54","-937.41","-1337.04","459.11","1701.45","-1068.00","-4328.57","-778.02","-420.12","-339.27","-461.44","-584.76","-736.61","-1640.64","-740.34","-899.38","-871.53","-865.92","-1884.10","-491.87","-372.71","-364.96","-252.01","4710.48","2116.32","3723.57","1521.19","1871.36","1611.61"
"Gait - Joint - Ankle - Abd-Add Min. L (degrees)","","","-44.03","4.91","-43.49","-41.96","-45.55","-39.01","-50.77","-44.96","-48.54","-49.60","-42.44","-44.82","-49.49","-36.10","-45.15","-40.54","-32.33","-37.43","-39.13","-34.48","-46.16","-48.47","-45.61","-49.01","-47.37","-42.92","-49.15","-44.53","-44.77","-48.94"
"Gait - Joint - Ankle - Abd-Add Min. R (degrees)","","","-45.36","4.04","-40.98","-42.40","-41.37","-43.21","-44.06","-40.00","-44.45","-44.48","-40.56","-46.08","-46.90","-52.76","-53.93","-49.09","-39.83","-46.05","-43.11","-44.02","-41.62","-45.95","-44.00","-42.42","-44.30","-46.48","-49.70","-47.05","-52.50","-52.76"
"Gait - Joint - Ankle - Abd-Add Min. Asymmetry (%Diff)","","","3.23","13.56","-5.94","1.04","-9.62","10.22","-14.15","-11.68","-8.80","-10.88","-4.53","2.77","-5.37","37.50","17.72","19.08","20.79","20.65","9.68","24.31","-10.34","-5.34","-3.59","-14.42","-6.70","7.96","1.11","5.50","15.89","7.51"
"Gait - Joint - Ankle - Abd-Add Range L (degrees)","","","56.52","7.43","47.67","46.11","47.15","41.60","53.94","48.14","52.99","68.25","62.42","62.53","66.49","55.16","68.02","66.94","50.14","56.52","58.05","44.64","55.31","56.75","53.59","57.18","59.22","54.37","62.98","60.11","61.41","64.75"
"Gait - Joint - Ankle - Abd-Add Range R (degrees)","","","36.50","4.34","38.27","39.33","37.29","39.93","41.89","37.11","41.83","37.86","35.40","39.08","38.58","41.84","36.03","33.92","28.50","34.09","31.29","35.81","37.76","43.46","41.67","41.47","31.41","32.64","34.30","26.74","31.89","32.47"
"Gait - Joint - Ankle - Abd-Add Range Asymmetry (%Diff)","","","-42.51","19.27","-21.88","-15.87","-23.35","-4.10","-25.15","-25.88","-23.54","-57.28","-55.24","-46.16","-53.13","-27.46","-61.49","-65.48","-55.04","-49.51","-59.91","-21.95","-37.71","-26.52","-25.03","-31.85","-61.37","-49.95","-58.96","-76.85","-63.28","-66.41"
"Gait - Joint - Back - Right Lat. Bend Max. (degrees)","","","4.38","2.01","5.93","5.90","5.31","7.99","4.94","4.20","3.88","2.79","7.70","6.10","7.28","3.29","5.02","2.49","0.74","3.55","5.02","1.61","6.72","3.84","3.76","4.95","5.39","2.72","5.55","3.92","2.09","-0.12"
"Gait - Joint - Back - Left Lat. Bend Max. (degrees)","","","5.96","2.11","2.83","4.85","7.23","4.41","2.16","3.37","3.36","5.26","7.28","5.14","7.37","6.38","6.89","6.00","10.48","5.17","10.05","4.93","5.78","10.70","5.19","6.64","8.32","5.91","5.89","5.31","4.28","5.81"
"Gait - Joint - Back - R-L Lat Bend Range (degrees)","","","10.34","2.80","8.76","10.75","12.54","12.40","7.11","7.57","7.24","8.05","14.98","11.23","14.65","9.67","11.91","8.49","11.22","8.72","15.07","6.54","12.50","14.54","8.94","11.59","13.71","8.64","11.44","9.22","6.37","5.69"
"Gait - Joint - Back - Flex-Ext Max. (degrees)","","","17.05","4.17","8.70","9.01","9.48","10.96","13.35","15.41","14.49","21.54","22.07","21.93","16.89","16.74","13.56","15.97","19.90","22.21","17.53","15.79","16.29","15.43","16.81","19.83","20.66","21.05","19.91","18.67","23.52","19.69"
"Gait - Joint - Back - Flex-Ext Min. (degrees)","","","9.79","3.82","6.10","3.48","2.31","5.61","2.83","9.20","7.26","15.29","15.55","12.67","8.98","11.02","6.25","7.01","14.05","13.21","10.97","11.31","8.84","9.96","7.86","9.13","14.75","15.72","11.73","10.44","13.58","8.99"
"Gait - Joint - Back - Flex-Ext Range (degrees)","","","7.26","2.01","2.60","5.53","7.17","5.35","10.52","6.21","7.23","6.25","6.52","9.25","7.91","5.72","7.31","8.96","5.84","9.00","6.56","4.48","7.45","5.47","8.95","10.70","5.91","5.33","8.18","8.23","9.94","10.70"
"Gait - Joint - Back - Right Rot Max. (degrees)","","","12.31","2.87","7.13","10.45","9.43","12.03","7.89","11.95","12.00","13.89","12.60","12.49","12.22","11.97","16.18","13.84","13.66","14.15","10.24","5.51","10.61","15.36","14.05","19.56","11.01","11.90","11.88","12.29","14.46","15.98"
"Gait - Joint - Back - Left Rot Max. (degrees)","","","7.05","2.37","9.14","10.40","10.49","5.29","7.49","5.38","11.36","7.24","7.46","2.77","2.75","3.69","7.18","7.26","5.72","6.71","10.05","10.54","9.29","5.85","6.02","6.84","10.08","5.73","6.64","5.45","4.66","5.94"
"Gait - Joint - Back - R-L Rot Range (degrees)","","","19.36","2.78","16.26","20.84","19.92","17.32","15.39","17.33","23.36","21.13","20.06","15.27","14.98","15.66","23.36","21.09","19.39","20.86","20.29","16.06","19.91","21.21","20.08","26.39","21.09","17.63","18.51","17.74","19.12","21.92"
"Gait - Joint - Elbow - Flex-Ext Max. L (degrees)","","","47.14","15.29","26.30","58.27","45.44","60.78","43.35","49.64","67.04","62.81","40.61","48.03","71.28","49.95","70.44","58.47","60.18","71.92","55.74","43.86","56.06","38.38","32.30","34.59","37.51","24.88","38.27","22.62","26.35","24.88"
"Gait - Joint - Elbow - Flex-Ext Max. R (degrees)","","","46.22","7.18","43.45","49.86","45.43","42.83","40.00","57.20","45.21","47.87","44.28","49.46","51.60","59.68","52.35","52.73","61.03","52.97","48.10","52.33","45.10","35.07","36.82","36.35","43.66","47.71","41.30","36.70","38.19","36.88"
"Gait - Joint - Elbow - Flex-Ext Max. Asymmetry (%Diff)","","","2.38","27.32","49.18","-15.56","-0.02","-34.65","-8.04","14.15","-38.90","-27.00","8.65","2.93","-32.03","17.75","-29.46","-10.32","1.40","-30.35","-14.71","17.61","-21.67","-9.01","13.08","4.96","15.15","62.90","7.62","47.47","36.69","38.86"
"Gait - Joint - Elbow - Flex-Ext Min. L (degrees)","","","13.43","17.86","-0.82","-1.98","-2.91","-6.47","-7.68","29.48","28.11","19.21","11.15","8.96","4.45","42.06","36.74","35.75","48.59","52.12","23.38","25.51","22.76","7.66","-0.30","-3.63","1.81","3.47","2.66","-3.14","0.35","-1.29"
"Gait - Joint - Elbow - Flex-Ext Min. R (degrees)","","","19.64","9.65","15.32","11.58","22.77","10.87","5.37","21.79","16.75","16.71","25.64","14.72","13.41","32.61","25.46","40.93","41.09","34.31","31.91","28.00","21.77","15.11","8.72","10.17","14.27","16.75","15.16","17.04","13.34","8.24"
"Gait - Joint - Elbow - Flex-Ext Min. Asymmetry (%Diff)","","","84.56","298.52","222.62","282.50","258.61","788.18","-1129.87","-30.00","-50.65","-13.92","78.77","48.65","100.34","-25.31","-36.27","13.51","-16.73","-41.21","30.86","9.31","-4.45","65.44","214.25","422.02","154.98","131.36","140.29","290.36","189.77","274.24"
"Gait - Joint - Elbow - Flex-Ext Range L (degrees)","","","33.71","14.80","27.11","60.25","48.35","67.24","51.03","20.16","38.94","43.59","29.46","39.07","66.84","7.89","33.69","22.72","11.59","19.79","32.36","18.35","33.30","30.72","32.60","38.22","35.70","21.41","35.61","25.76","26.00","26.17"
"Gait - Joint - Elbow - Flex-Ext Range R (degrees)","","","26.58","6.65","28.13","38.28","22.66","31.96","34.63","35.41","28.47","31.17","18.64","34.74","38.19","27.08","26.89","11.80","19.94","18.66","16.19","24.33","23.33","19.96","28.10","26.18","29.38","30.96","26.14","19.66","24.85","28.64"
"Gait - Joint - Elbow - Flex-Ext Range Asymmetry (%Diff)","","","-17.03","42.43","3.69","-44.60","-72.36","-71.13","-38.29","54.89","-31.06","-33.23","-44.99","-11.73","-54.56","109.75","-22.45","-63.27","52.97","-5.88","-66.61","28.02","-35.21","-42.46","-14.83","-37.39","-19.42","36.47","-30.67","-26.86","-4.52","9.01"
"Gait - Joint - Elbow - Sup-Pro Max. L (degrees)","","","3.58","6.21","8.41","4.97","2.98","-4.76","3.78","-0.44","1.00","2.73","10.75","3.05","9.11","-4.18","-5.10","-3.27","-4.68","-4.39","-0.85","-1.19","2.79","14.63","2.60","17.42","11.06","7.08","5.82","6.22","1.97","12.79"
"Gait - Joint - Elbow - Sup-Pro Max. R (degrees)","","","-11.04","5.30","-10.54","-11.35","-17.49","-15.72","-9.96","-9.05","-8.96","-6.33","-5.42","-7.05","-9.43","-15.02","-9.93","-17.80","-11.19","-5.13","-7.46","-8.65","-2.04","-5.92","-3.62","-5.11","-14.15","-21.33","-15.08","-19.65","-18.28","-17.53"
"Gait - Joint - Elbow - Sup-Pro Max. Asymmetry (%Diff)","","","705.62","2223.48","1779.34","511.60","282.15","107.03","444.66","181.45","250.25","503.33","-606.75","505.00","11587.50","112.92","64.27","137.92","82.04","15.55","159.09","151.63","-1288.00","-471.87","1219.61","-366.04","1631.72","398.74","451.40","385.26","248.31","1279.32"
"Gait - Joint - Elbow - Sup-Pro Min. L (degrees)","","","-14.18","5.41","-5.24","-14.30","-18.22","-19.10","-25.08","-20.19","-20.54","-20.28","-13.63","-15.10","-18.94","-17.48","-15.89","-15.47","-15.09","-16.33","-12.72","-12.43","-12.22","-2.99","-5.37","-2.89","-12.31","-7.22","-14.38","-14.68","-14.70","-14.29"
"Gait - Joint - Elbow - Sup-Pro Min. R (degrees)","","","-20.59","5.23","-22.33","-24.57","-25.61","-26.50","-20.79","-17.30","-18.86","-15.55","-14.59","-18.99","-20.88","-20.86","-21.86","-26.57","-16.49","-13.99","-16.50","-12.60","-11.25","-17.03","-13.20","-18.65","-26.73","-26.94","-25.72","-26.93","-26.27","-28.82"
"Gait - Joint - Elbow - Sup-Pro Min. Asymmetry (%Diff)","","","40.26","48.50","123.98","52.84","33.72","32.46","-18.71","-15.42","-8.53","-26.40","6.80","22.82","9.74","17.63","31.63","52.81","8.87","-15.44","25.87","1.36","-8.27","140.26","84.33","146.33","73.87","115.46","56.56","58.88","56.48","67.41"
"Gait - Joint - Elbow - Sup-Pro Range L (degrees)","","","17.77","5.72","13.65","19.27","21.20","14.34","28.86","19.75","21.54","23.02","24.38","18.15","28.05","13.30","10.80","12.21","10.41","11.94","11.87","11.24","15.01","17.62","7.97","20.32","23.38","14.31","20.21","20.90","16.67","27.08"
"Gait - Joint - Elbow - Sup-Pro Range R (degrees)","","","9.54","2.44","11.79","13.22","8.12","10.79","10.84","8.26","9.90","9.22","9.17","11.93","11.45","5.83","11.92","8.77","5.29","8.86","9.05","3.94","9.21","11.11","9.58","13.54","12.58","5.61","10.64","7.28","7.99","11.29"
"Gait - Joint - Elbow - Sup-Pro Range Asymmetry (%Diff)","","","-57.52","31.81","-14.62","-37.24","-89.22","-28.25","-90.78","-82.04","-74.05","-85.61","-90.67","-41.36","-84.05","-78.10","9.86","-32.79","-65.22","-29.62","-26.96","-96.18","-47.89","-45.32","18.35","-40.05","-60.07","-87.35","-62.04","-96.66","-70.40","-82.30"
"Gait - Joint - Hip - Abd-Add Max. L (degrees)","","","18.25","1.77","19.50","19.86","17.58","19.92","17.42","18.09","18.40","18.92","22.67","20.23","19.00","15.44","16.08","16.48","20.10","19.18","18.98","16.71","21.74","15.68","17.47","16.68","17.20","18.63","18.43","16.56","17.66","16.49"
"Gait - Joint - Hip - Abd-Add Max. R (degrees)","","","16.07","1.20","16.66","14.92","17.12","15.67","15.69","18.41","16.48","16.80","13.64","16.83","15.48","15.33","15.56","15.45","16.96","16.74","15.33","17.54","14.05","15.65","14.67","15.56","17.61","18.79","16.39","15.23","15.43","15.90"
"Gait - Joint - Hip - Abd-Add Max. Asymmetry (%Diff)","","","-12.49","12.87","-15.71","-28.41","-2.65","-23.88","-10.45","1.75","-11.01","-11.87","-49.74","-18.35","-20.42","-0.71","-3.29","-6.45","-16.95","-13.59","-21.28","4.85","-42.97","-0.19","-17.42","-6.95","2.36","0.86","-11.72","-8.37","-13.48","-3.64"
"Gait - Joint - Hip - Abd-Add Min. L (degrees)","","","-3.74","1.91","-2.57","-3.44","-6.49","-4.16","-7.41","-4.54","-6.43","-5.25","-5.14","-0.56","-5.04","-4.67","-4.69","-5.17","-3.82","-1.53","-5.37","-2.76","-4.01","-1.31","-0.47","-5.08","-2.66","-2.66","-1.51","-1.41","-1.31","-5.23"
"Gait - Joint - Hip - Abd-Add Min. R (degrees)","","","-2.51","2.32","-4.49","-5.43","-3.69","-3.98","-6.16","-2.43","-5.40","-3.94","-3.84","-5.14","-6.67","-0.73","-3.04","-2.22","2.55","1.50","0.73","0.39","-1.82","-1.33","-1.77","-1.23","0.60","-1.67","-2.70","-2.89","-3.34","-2.11"
"Gait - Joint - Hip - Abd-Add Min. Asymmetry (%Diff)","","","-794.28","3809.10","54.39","44.87","-55.01","-4.42","-18.42","-60.55","-17.41","-28.51","-28.95","160.70","27.84","-145.93","-42.69","-79.84","-1003.15","-20200.00","-262.93","-265.82","-75.13","1.52","116.07","-122.03","-316.50","-45.73","56.53","68.84","87.31","-85.01"
"Gait - Joint - Hip - Abd-Add Range L (degrees)","","","21.99","2.61","22.07","23.30","24.06","24.08","24.83","22.62","24.83","24.17","27.81","20.80","24.04","20.11","20.77","21.64","23.92","20.71","24.35","19.47","25.74","16.99","17.94","21.76","19.86","21.29","19.94","17.96","18.97","21.72"
"Gait - Joint - Hip - Abd-Add Range R (degrees)","","","18.58","2.36","21.16","20.35","20.81","19.65","21.85","20.85","21.89","20.74","17.48","21.97","22.15","16.06","18.60","17.67","14.41","15.25","14.60","17.15","15.87","16.98","16.45","16.80","17.01","20.46","19.09","18.12","18.77","18.01"
"Gait - Joint - Hip - Abd-Add Range Asymmetry (%Diff)","","","-16.80","15.41","-4.21","-13.52","-14.49","-20.26","-12.77","-8.14","-12.59","-15.27","-45.62","5.47","-8.18","-22.39","-11.02","-20.20","-49.62","-30.37","-50.06","-12.67","-47.44","-0.06","-8.67","-25.73","-15.46","-3.98","-4.36","0.89","-1.06","-18.68"
"Gait - Joint - Hip - Flex-Ext Max. L (degrees)","","","-0.70","6.64","3.48","3.30","9.53","3.38","11.13","-1.83","7.02","-2.99","-0.03","-6.95","-0.50","0.18","10.91","13.96","-5.05","-10.78","-3.48","-4.07","-0.52","3.38","-6.64","-2.76","-5.37","-10.33","-8.86","-5.22","-5.35","-5.11"
"Gait - Joint - Hip - Flex-Ext Max. R (degrees)","","","0.04","5.22","0.71","7.87","3.35","7.39","6.33","1.92","7.75","-1.51","-8.33","-4.53","2.40","1.04","9.63","4.78","-1.34","-8.25","-4.34","-4.32","1.58","1.32","-1.07","3.40","-5.89","-10.23","-2.70","-1.80","-3.74","-0.18"
"Gait - Joint - Hip - Flex-Ext Max. Asymmetry (%Diff)","","","364.27","1609.03","-132.22","81.83","-95.96","74.47","-54.98","8333.33","9.88","-65.78","198.56","-42.16","305.26","140.98","-12.46","-97.97","-116.12","-26.59","21.99","5.96","396.23","-87.66","-144.49","1925.00","9.24","-0.97","-106.57","-97.44","-35.42","-186.39"
"Gait - Joint - Hip - Flex-Ext Min. L (degrees)","","","-32.41","6.23","-28.41","-29.83","-26.23","-32.92","-23.83","-25.58","-25.09","-33.93","-36.36","-40.33","-30.57","-28.09","-26.02","-18.33","-34.75","-40.91","-36.74","-23.91","-32.86","-31.70","-35.19","-36.80","-40.87","-41.91","-41.34","-34.35","-37.74","-32.93"
"Gait - Joint - Hip - Flex-Ext Min. R (degrees)","","","-35.13","6.56","-36.22","-31.63","-26.74","-28.78","-27.90","-33.89","-25.20","-37.45","-41.08","-41.08","-32.42","-32.63","-22.82","-27.02","-32.91","-47.34","-38.35","-32.12","-36.95","-33.21","-38.43","-37.58","-44.47","-46.02","-40.57","-30.05","-46.00","-34.90"
"Gait - Joint - Hip - Flex-Ext Min. Asymmetry (%Diff)","","","8.24","12.47","24.17","5.86","1.93","-13.42","15.74","27.95","0.44","9.86","12.19","1.84","5.87","14.95","-13.10","38.32","-5.44","14.57","4.29","29.31","11.72","4.65","8.80","2.10","8.44","9.35","-1.88","-13.35","19.73","5.81"
"Gait - Joint - Hip - Flex-Ext Range L (degrees)","","","31.71","3.82","31.89","33.13","35.75","36.30","34.96","23.75","32.11","30.93","36.33","33.38","30.07","28.27","36.92","32.29","29.70","30.13","33.26","19.84","32.34","35.09","28.55","34.04","35.50","31.58","32.48","29.13","32.39","27.82"
"Gait - Joint - Hip - Flex-Ext Range R (degrees)","","","35.18","3.53","36.93","39.50","30.09","36.17","34.23","35.81","32.95","35.94","32.75","36.55","34.83","33.67","32.45","31.79","31.57","39.08","34.02","27.79","38.52","34.53","37.36","40.98","38.58","35.79","37.86","28.26","42.25","34.73"
"Gait - Joint - Hip - Flex-Ext Range Asymmetry (%Diff)","","","10.61","13.96","14.65","17.54","-17.19","-0.36","-2.11","40.50","2.58","14.98","-10.36","9.07","14.67","17.44","-12.89","-1.56","6.10","25.86","2.26","33.38","17.44","-1.61","26.73","18.50","8.32","12.50","15.30","-3.03","26.42","22.09"
"Gait - Joint - Hip - Int-Ext Rot Max. L (degrees)","","","6.17","4.08","1.99","6.41","6.59","3.87","6.47","4.65","7.42","6.54","6.25","6.84","10.57","6.94","9.86","10.59","14.38","11.41","14.50","8.28","7.80","5.56","6.29","6.20","0.09","-0.58","1.72","-0.12","-0.24","2.53"
"Gait - Joint - Hip - Int-Ext Rot Max. R (degrees)","","","-0.69","2.33","-0.03","-0.80","-0.69","0.52","-2.12","-2.89","-3.45","1.37","3.06","4.19","2.44","0.38","0.83","3.16","-4.76","-5.98","-0.76","-0.47","-1.17","-0.30","-0.70","-3.90","-1.86","-1.81","-1.39","-0.76","0.28","-1.79"
"Gait - Joint - Hip - Int-Ext Rot Max. Asymmetry (%Diff)","","","-235.02","702.62","-206.12","-257.04","-246.78","-152.62","-394.94","-856.82","-547.61","-130.72","-68.53","-48.05","-124.98","-179.23","-168.94","-108.07","-397.92","-640.52","-222.13","-224.07","-270.59","-222.81","-250.09","-878.26","220.34","102.93","-1884.85","145.45","2600.00","-1167.57"
"Gait - Joint - Hip - Int-Ext Rot Min. L (degrees)","","","-10.88","3.60","-13.81","-13.32","-13.34","-10.40","-12.54","-10.44","-13.88","-11.11","-13.66","-10.94","-10.00","-5.33","-5.78","-8.64","-6.83","-4.50","-3.46","-8.48","-11.85","-9.46","-7.24","-9.50","-14.39","-15.52","-15.48","-16.75","-13.27","-14.73"
"Gait - Joint - Hip - Int-Ext Rot Min. R (degrees)","","","-11.71","2.91","-8.88","-13.94","-12.96","-15.46","-12.51","-14.78","-15.86","-8.09","-7.49","-6.47","-10.15","-9.75","-12.38","-8.73","-17.00","-13.87","-14.85","-12.32","-7.78","-13.43","-9.97","-15.76","-13.66","-9.65","-10.99","-11.49","-8.65","-11.03"
